learning rate,batch size,hid_size,F1 score,Acc
0.0001,128,100,0.9370703331570596,0.9395296752519596
0.0001,128,200,0.9349133356915458,0.9496080627099664
0.0001,128,300,0.940947666195191,0.948488241881299
0.0001,256,100,0.1314420803782506,0.7402015677491601
0.0001,256,200,0.9292394565025588,0.9440089585666294
0.0001,256,300,0.926122304701308,0.9395296752519596
0.0001,32,100,0.9377769898954086,0.9417693169092946
0.0001,32,200,0.9421312632321808,0.9529675251959686
0.0001,32,300,0.944395410414828,0.9462486002239642
0.0001,64,100,0.933731763051503,0.93505039193729
0.0001,64,200,0.9390503189227496,0.942889137737962
0.0001,64,300,0.9367581930912312,0.9496080627099664
0.0003,128,100,0.945319412493364,0.9305711086226204
0.0003,128,200,0.9408658922914468,0.9440089585666294
0.0003,128,300,0.942300884955752,0.948488241881299
0.0003,256,100,0.937136819862652,0.9406494960806272
0.0003,256,200,0.935489541219898,0.942889137737962
0.0003,256,300,0.940595804688877,0.9406494960806272
0.0003,32,100,0.9397717295873572,0.9440089585666294
0.0003,32,200,0.9437016185784658,0.942889137737962
0.0003,32,300,0.9437091935768483,0.9395296752519596
0.0003,64,100,0.9409058740268932,0.9395296752519596
0.0003,64,200,0.9493314567206192,0.9440089585666294
0.0003,64,300,0.9443167756761536,0.9395296752519596
0.0005,128,100,0.9420468557336622,0.9406494960806272
0.0005,128,200,0.9441409691629956,0.9395296752519596
0.0005,128,300,0.9447960618846696,0.9462486002239642
0.0005,256,100,0.9436694331626346,0.9406494960806272
0.0005,256,200,0.93656980864635,0.9372900335946248
0.0005,256,300,0.9438955539872972,0.9384098544232924
0.0005,32,100,0.9448542325254654,0.9473684210526316
0.0005,32,200,0.9430088495575222,0.9507278835386338
0.0005,32,300,0.9422190712513292,0.9451287793952968
0.0005,64,100,0.9443269908386188,0.9473684210526316
0.0005,64,200,0.9408849557522124,0.9518477043673012
0.0005,64,300,0.9453580901856764,0.9496080627099664
0.001,128,100,0.9393195370045598,0.9406494960806272
0.001,128,200,0.9441212762206944,0.9507278835386338
0.001,128,300,0.9413008989952406,0.942889137737962
0.001,256,100,0.9468667255075022,0.948488241881299
0.001,256,200,0.9389920424403184,0.9507278835386338
0.001,256,300,0.9433762568354208,0.9417693169092946
0.001,32,100,0.9414884214247836,0.9417693169092946
0.001,32,200,0.94345605073102,0.948488241881299
0.001,32,300,0.9360955056179774,0.9462486002239642
0.001,64,100,0.9341989822775926,0.954087346024636
0.001,64,200,0.9433762568354208,0.948488241881299
0.001,64,300,0.9440993788819876,0.9507278835386338
