learning rate,batch size,dropout,F1 score,Acc
1e-05,128,0.1,0.9338650714523096,0.9764837625979844
1e-05,128,0.2,0.9358867610324728,0.9742441209406496
1e-05,128,0.3,0.9340219926691103,0.9742441209406496
1e-05,128,0.4,0.9285951511125872,0.9720044792833148
1e-05,32,0.1,0.9365448504983388,0.973124300111982
1e-05,32,0.2,0.9328457446808512,0.9764837625979844
1e-05,32,0.3,0.937479215164616,0.9787234042553192
1e-05,32,0.4,0.941705529646902,0.9720044792833148
1e-05,64,0.1,0.9326235235401764,0.975363941769317
1e-05,64,0.2,0.9371771371438092,0.9742441209406496
1e-05,64,0.3,0.9377910844976712,0.9675251959686452
1e-05,64,0.4,0.9410196601132956,0.975363941769317
2e-05,128,0.1,0.9322005663834748,0.9720044792833148
2e-05,128,0.2,0.9393333333333334,0.973124300111982
2e-05,128,0.3,0.9379470969888536,0.973124300111982
2e-05,128,0.4,0.9384359400998336,0.9742441209406496
2e-05,32,0.1,0.934065934065934,0.96976483762598
2e-05,32,0.2,0.9371771371438092,0.96976483762598
2e-05,32,0.3,0.9389796598866288,0.973124300111982
2e-05,32,0.4,0.941901115365407,0.973124300111982
2e-05,64,0.1,0.9361914257228314,0.9764837625979844
2e-05,64,0.2,0.9399198931909212,0.9708846584546472
2e-05,64,0.3,0.9362696029362696,0.96976483762598
2e-05,64,0.4,0.9323358270989194,0.973124300111982
3e-05,128,0.1,0.941,0.9787234042553192
3e-05,128,0.2,0.9394141145139812,0.980963045912654
3e-05,128,0.3,0.9349958437240232,0.9742441209406496
3e-05,128,0.4,0.9354194407456724,0.9742441209406496
3e-05,32,0.1,0.9426666666666664,0.973124300111982
3e-05,32,0.2,0.9386125436699384,0.973124300111982
3e-05,32,0.3,0.9367299367299368,0.9742441209406496
3e-05,32,0.4,0.9435914552736984,0.9764837625979844
3e-05,64,0.1,0.9371980676328502,0.975363941769317
3e-05,64,0.2,0.9421763039493418,0.975363941769317
3e-05,64,0.3,0.9397670549084858,0.973124300111982
3e-05,64,0.4,0.935064935064935,0.96976483762598
5e-05,128,0.1,0.9394141145139812,0.9787234042553192
5e-05,128,0.2,0.9405495420482932,0.9776035834266518
5e-05,128,0.3,0.9406666666666668,0.975363941769317
5e-05,128,0.4,0.9334667333666832,0.96976483762598
5e-05,32,0.1,0.9360852197070572,0.9708846584546472
5e-05,32,0.2,0.9386257505003336,0.9776035834266518
5e-05,32,0.3,0.9360707728259056,0.975363941769317
5e-05,32,0.4,0.9412746079412748,0.9764837625979844
5e-05,64,0.1,0.9390812250332892,0.9742441209406496
5e-05,64,0.2,0.938836898395722,0.975363941769317
5e-05,64,0.3,0.9360571333665504,0.973124300111982
5e-05,64,0.4,0.9339983374896094,0.9720044792833148
9e-05,128,0.1,0.9436290860573716,0.9764837625979844
9e-05,128,0.2,0.938,0.9630459126539752
9e-05,128,0.3,0.9410979476055398,0.975363941769317
9e-05,128,0.4,0.9373014546062532,0.973124300111982
9e-05,32,0.1,0.9354246621057902,0.9641657334826428
9e-05,32,0.2,0.9409022806725488,0.9708846584546472
9e-05,32,0.3,0.9373959373959374,0.9708846584546472
9e-05,32,0.4,0.9349917081260364,0.9742441209406496
9e-05,64,0.1,0.9383208645054032,0.9686450167973124
9e-05,64,0.2,0.9322259136212624,0.973124300111982
9e-05,64,0.3,0.9301397205588824,0.975363941769317
9e-05,64,0.4,0.9408834274327464,0.9742441209406496
